"filename", "language", "C#", "XML", "comment", "blank", "total"
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\Zlib.cs", "C#", 220, 0, 265, 63, 548
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\ZlibBaseStream.cs", "C#", 452, 0, 77, 100, 629
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\ZlibCodec.cs", "C#", 195, 0, 467, 57, 719
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\ZlibConstants.cs", "C#", 23, 0, 94, 12, 129
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\ZlibStream.cs", "C#", 178, 0, 508, 41, 727
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Models\PlayFabSharedSettings.cs", "C#", 32, 0, 0, 7, 39
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Models\SharedModels.cs", "C#", 37, 0, 0, 8, 45
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\IPlayFabPlugin.cs", "C#", 6, 0, 3, 0, 9
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\ISerializerPlugin.cs", "C#", 11, 0, 3, 1, 15
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\ITransportPlugin.cs", "C#", 17, 0, 4, 7, 28
